"","uniqueID1","uniqueID2","uniqueID3","uniqueID4","date","year","season","fishing_season","latitude","longitude","location","total_salmon_per_site","day_scaled_linearised","month_linearised","netting_record","sea_age","sex","fork_length","gut_weight","condition","vgll3","six6","best_estimate","be_probability","prey_group","num_prey","num_fish","num_crus","w_fish","w_crus","w_prey","empty_notEmpty","fish_prop","fish_noFish","crust_prop","crust_noCrust"
"68","91_W_69","0091_W_69","0091_W_69_1992","20_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,20,"2","female",69,3.1,0.943657555805168,2,3,"England_Ireland",0.999,"Crustaceans",1,0,1,0,0.08,0.08,1,0,0,1,1
"69","92_W_73","0092_W_73","0092_W_73_1992","18_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,18,"2","female",73,3.6,0.925409429407969,2,2,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"70","93_W_70","0093_W_70","0093_W_70_1992","17_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,17,"2","female",70,2.9,0.845481049562682,1,3,"England_Ireland",1,"Crustaceans",36,0,36,3.65,1.42,5.07,1,0.719921104536489,1,0.280078895463511,1
"71","94_W_73","0094_W_73","0094_W_73_1992","13_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,13,"2","female",73,3.2,0.82258615947375,3,2,"Southern_Norway",0.9834,NA,0,0,0,0,0,0,0,NA,0,NA,0
"72","95_W_91","0095_W_91","0095_W_91_1992","10_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,10,"3","male",91,8,1.06161197816795,3,2,"Southern_Norway",0.9999,NA,0,0,0,0,0,0,0,NA,0,NA,0
"73","96_W_72","0096_W_72","0096_W_72_1992","9_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,9,"2","female",72,4,1.07167352537723,1,3,"Southern_Norway",1,"Fish",1,1,0,1.06,0,1.06,1,1,1,0,0
"74","99_W_61","0099_W_61","0099_W_61_1992","28_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,28,"2","male",61,1.91,0.841480123887021,1,1,"Eastern_Barents_White Sea",1,"Crustaceans",13,0,13,0,0.88,0.88,1,0,0,1,1
"75","100_W_64","0100_W_64","0100_W_64_1992","58_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,58,"2","male",64,2.09,0.797271728515625,1,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"76","101_W_75","0101_W_75","0101_W_75_1992","65_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,65,"2","female",75,3.91,0.926814814814815,2,1,"England_Ireland",1,"Crustaceans",60,0,60,1.3,1.78,3.08,1,0.422077922077922,1,0.577922077922078,1
"77","103_W_64","0103_W_64","0103_W_64_1992","63_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,63,"2","female",64,2.27,0.865936279296875,1,1,"England_Ireland",1,"Crustaceans",6,0,6,0,0.07,0.07,1,0,0,1,1
"78","104_W_68","0104_W_68","0104_W_68_1992","62_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,62,"2","male",68,2.45,0.779182780378587,2,2,"England_Ireland",0.9998,"Crustaceans",1,0,1,0,0.005,0.005,1,0,0,1,1
"79","105_W_66","0105_W_66","0105_W_66_1992","33_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,33,"2","male",66,2.55,0.886968862175474,1,2,"England_Ireland",1,"Crustaceans",1,0,1,0,0.012,0.012,1,0,0,1,1
"80","109_W_65","0109_W_65","0109_W_65_1992","56_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,56,"2","male",65,2.73,0.994082840236686,3,3,"Southern_Norway",0.9999,NA,0,0,0,0,0,0,0,NA,0,NA,0
"81","110_W_64","0110_W_64","0110_W_64_1992","55_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,55,"2","male",64,3.18,1.21307373046875,1,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"82","113_W_66","0113_W_66","0113_W_66_1992","41_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,41,"2","male",66,3,1.04349277902997,3,1,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"83","115_W_58","0115_W_58","0115_W_58_1992","43_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,43,"2","female",58,1.54,0.789290253802944,2,2,"England_Ireland",1,"Crustaceans",1,0,1,0,0.06,0.06,1,0,0,1,1
"84","116_W_66","0116_W_66","0116_W_66_1992","44_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,44,"2","male",66,2.36,0.820880986170242,2,2,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"85","117_W_66","0117_W_66","0117_W_66_1992","45_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,45,"2","female",66,2.45,0.852185769541142,1,1,"England_Ireland",1,"Crustaceans",2,0,2,0,0.296,0.296,1,0,0,1,1
"86","119_W_70","0119_W_70","0119_W_70_1992","49_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,49,"2","female",70,3.09,0.900874635568513,2,2,"Southern_Norway",0.9994,"Fish",1,1,0,1.74,0,1.74,1,1,1,0,0
"87","120_W_70","0120_W_70","0120_W_70_1992","50_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,50,"2","female",70,3.18,0.927113702623907,2,1,"England_Ireland",0.9946,"Crustaceans",30,0,30,0.4,0.3,0.7,1,0.571428571428572,1,0.428571428571429,1
"88","122_W_63","0122_W_63","0122_W_63_1992","52_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,52,"2","male",63,2.18,0.871836094814175,3,2,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"89","123_W_72","0123_W_72","0123_W_72_1992","46_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,46,"2","male",72,3.46,0.926997599451303,1,2,"Southern_Norway",1,"Crustaceans",14,0,14,0,0.4,0.4,1,0,0,1,1
