IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0194_W_73_1993 ;Gaula;0.8895;Numedalsiagen;0.0714;Laukhelle_aver;0.0250;VJ_aver;0.0069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0180_W_60_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0252_W_73_1993 ;Gaula;0.9915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0247_W_93_1993 ;Gaula;0.9944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0254_W_73_1993 ;NorthEsk;0.9756;Tweed;0.0170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0253_W_69_1993 ;NorthEsk;0.6399;Numedalsiagen;0.3461;Tweed;0.0081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0255_W_69_1993 ;Dionard;0.8441;Alta;0.1002;Dart;0.0452;NorthEsk;0.0077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0249_W_71_1993 ;Dionard;0.4655;NorthEsk;0.4098;Tweed;0.1064;Dart;0.0179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0256_W_84_1993 ;Gaula;0.8240;Dionard;0.1341;Laukhelle_aver;0.0382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0257_W_69_1993 ;Gaula;0.9987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0258_W_71_1993 ;NorthEsk;0.9852;Dart;0.0143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0259_W_75_1993 ;Gaula;0.9946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0260_W_71_1993 ;Dionard;0.8179;NorthEsk;0.1731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0264_W_89_1993 ;Gaula;0.6635;Lardaiselva;0.3076;Laukhelle_aver;0.0230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0272_W_91_1993 ;Teno;0.5358;Gaula;0.4262;Dionard;0.0267;Laukhelle_aver;0.0048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0271_W_77_1993 ;Dionard;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0270_W_72_1993 ;Lardaiselva;0.9928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0269_W_69_1993 ;Lardaiselva;0.9967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0273_W_70_1993 ;Dionard;0.9469;NorthEsk;0.0369;Gaula;0.0091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0267_W_72_1993 ;Gaula;0.5316;Lardaiselva;0.4683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0265_W_64_1993 ;Numedalsiagen;0.5931;Lardaiselva;0.2261;Gaula;0.1744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0261_W_68_1993 ;Lebyazhya;0.8576;Tuloma;0.1062;Titovka_aver;0.0326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0263_W_81_1993 ;Numedalsiagen;0.9283;Gaula;0.0664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0250_W_69_1993 ;NorthEsk;0.9854;Dart;0.0138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0224_W_82_1993 ;Teno;0.5499;Tuloma;0.3913;Lebyazhya;0.0551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0232_W_87_1993 ;Gaula;0.9353;Lardaiselva;0.0628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0235_W_86_1993 ;Gaula;0.9713;Lardaiselva;0.0287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0230_W_88_1993 ;Numedalsiagen;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0229_W_71_1993 ;NorthEsk;0.8914;Dionard;0.1077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0228_W_79_1993 ;Gaula;0.8092;Lardaiselva;0.1075;Numedalsiagen;0.0832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0227_W_65_1993 ;Gaula;0.5719;NorthEsk;0.1899;Blackwater;0.1868;Dart;0.0323;Dionard;0.0152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0226_W_77_1993 ;Gaula;0.7992;Lardaiselva;0.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0225_W_92_1993 ;Numedalsiagen;0.9969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0233_W_91_1993 ;Gaula;0.9991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0236_W_98_1993 ;Alta;0.9848;Gaula;0.0150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0237_W_86_1993 ;Numedalsiagen;0.9979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0238_W_91_1993 ;Gaula;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0239_W_73_1993 ;Gaula;0.9987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
